pillar_number,pillar_title,pillar_slug,title_number,global_number,blog_title,content_type,subject_entity
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,1,1,What Is Channel Mix? A Beginner's Guide for Digital Marketing Strategy,Beginner guide,channel mix
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,2,2,Marketing Budget Explained: A Plain-English Introduction,Beginner guide,marketing budget
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,3,3,Getting Started With Customer Journey Map: What Beginners Need to Know First,Beginner guide,customer journey map
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,4,4,Marketing Roadmap for Complete Beginners: Core Concepts and First Steps,Beginner guide,marketing roadmap
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,5,5,Advanced Quarterly Planning: Techniques Experienced Teams Actually Use,Advanced guide,quarterly planning
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,6,6,Competitive Positioning at Scale: What Changes Once You Outgrow the Basics,Advanced guide,competitive positioning
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,7,7,Beyond the Basics: Sophisticated Brand Messaging Tactics That Still Work,Advanced guide,brand messaging
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,8,8,How to Improve Marketing OKRs Without Increasing Your Budget,How-to,marketing OKRs
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,9,9,How to Set Up Attribution Model Correctly the First Time,How-to,attribution model
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,10,10,How to Fix Funnel Design When It Stops Delivering Results,How-to,funnel design
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,11,11,How to Audit Your Buyer Persona in Under an Hour,How-to,buyer persona
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,12,12,Step-by-Step: Building Your First Value Proposition Workflow,Step-by-step tutorial,value proposition
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,13,13,"A Practical Walkthrough of Go-To-Market Plan, From Setup to First Result",Step-by-step tutorial,go-to-market plan
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,14,14,Configuring Growth Loop in Notion: A Step-by-Step Tutorial,Step-by-step tutorial,growth loop
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,15,15,The Complete Guide to Marketing Audit in 2026,Ultimate guide,marketing audit
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,16,16,The Definitive Campaign Calendar Handbook for Modern Marketing Teams,Ultimate guide,campaign calendar
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,17,17,Everything You Need to Know About Media Plan,Ultimate guide,media plan
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,18,18,The North Star Metric Checklist Every Team Should Run Before Launch,Checklist,North Star metric
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,19,19,A Pre-Launch Demand Generation Checklist You Can Finish in One Sitting,Checklist,demand generation
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,20,20,Monthly Full-Funnel Strategy Maintenance Checklist for Busy Marketers,Checklist,full-funnel strategy
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,21,21,A Reusable Channel Mix Template You Can Adapt Today,Template,channel mix
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,22,22,"Free Marketing Budget Framework: Structure, Fields and Worked Example",Template,marketing budget
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,23,23,The Customer Journey Map Brief Template That Cuts Revision Cycles,Template,customer journey map
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,24,24,12 Real Marketing Roadmap Examples Worth Studying,Examples,marketing roadmap
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,25,25,Quarterly Planning Examples That Show What Good Actually Looks Like,Examples,quarterly planning
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,26,26,Annotated Competitive Positioning Examples: Why Each One Works,Examples,competitive positioning
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,27,27,Case Study: How One Education Brand Rebuilt Its Brand Messaging,Case study,brand messaging
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,28,28,Inside a Marketing OKRs Turnaround: What Changed and What It Cost,Case study,marketing OKRs
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,29,29,"A 90-Day Attribution Model Experiment: Method, Results and Lessons",Case study,attribution model
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,30,30,Building a Funnel Design Strategy That Survives Algorithm Changes,Strategy,funnel design
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,31,31,A Sustainable Buyer Persona Strategy for Teams With Limited Resources,Strategy,buyer persona
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,32,32,How to Prioritise Value Proposition When Everything Feels Urgent,Strategy,value proposition
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,33,33,The Strategic Case for Investing in Go-To-Market Plan This Year,Strategy,go-to-market plan
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,34,34,Growth Loop Best Practices That Hold Up Under Scrutiny,Best practices,growth loop
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,35,35,Proven Marketing Audit Principles for Consistent Results,Best practices,marketing audit
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,36,36,What Disciplined Campaign Calendar Looks Like in Practice,Best practices,campaign calendar
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,37,37,The Media Plan Standards High-Performing Teams Enforce,Best practices,media plan
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,38,38,Common North Star Metric Mistakes That Quietly Cost You Revenue,Mistakes to avoid,North Star metric
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,39,39,Seven Demand Generation Errors Almost Every Team Makes Early On,Mistakes to avoid,demand generation
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,40,40,"Why Most Full-Funnel Strategy Efforts Stall, and How to Avoid It",Mistakes to avoid,full-funnel strategy
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,41,41,Channel Mix Anti-Patterns Worth Unlearning,Mistakes to avoid,channel mix
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,42,42,Marketing Budget Not Working? A Diagnostic Guide,Problem/solution,marketing budget
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,43,43,"Troubleshooting Customer Journey Map: Symptoms, Causes and Fixes",Problem/solution,customer journey map
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,44,44,What to Do When Marketing Roadmap Suddenly Drops,Problem/solution,marketing roadmap
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,45,45,Fixing Broken Quarterly Planning: A Systematic Approach,Problem/solution,quarterly planning
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,46,46,"Competitive Positioning: Frequently Asked Questions, Answered Directly",FAQ,competitive positioning
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,47,47,Is Brand Messaging Worth the Investment? An Honest Assessment,FAQ,brand messaging
