number,title,slug,primary_intent,audience,primary_keyword,secondary_keywords,seo,aeo,geo,aio,core_subtopics
1,Digital Marketing Strategy Foundations,digital-marketing-strategy,Informational → Commercial investigation,"Founders, marketing managers, agency strategists",digital marketing strategy,marketing plan; channel strategy; marketing roadmap; go-to-market,Owns the head term 'digital marketing strategy' and its planning/framework long-tail.,"Answers definitional and 'how do I build' questions with concise, extractable steps.",Original planning frameworks and budget benchmarks are highly citable by generative engines.,"Positions AI as a strategy co-pilot: AI-assisted planning, forecasting and channel mix modelling.",Channel mix modelling; Marketing budget allocation; Goal setting and OKRs; Customer journey mapping; Competitive positioning; Marketing roadmaps; Attribution basics; Strategy audits
2,SEO Fundamentals and Search Strategy,seo-fundamentals,Informational,"Marketers new to SEO, business owners, content leads",SEO basics,how search engines work; search intent; ranking factors; organic traffic,Captures the 'what is SEO / how SEO works' head and mid-tail.,Definition and mechanism questions ideal for snippets and voice answers.,"Clear entity definitions (crawling, indexing, ranking) are reliably cited by AI engines.",Explains how AI search changes classic SEO assumptions.,How search engines work; Crawling and indexing; Ranking factors; Search intent; SERP features; White hat vs black hat; SEO roadmaps; Measuring SEO success
3,Technical SEO and Site Architecture,technical-seo,Informational → Transactional (tooling),"Developers, technical SEOs, site owners",technical SEO,Core Web Vitals; structured data; crawl budget; JavaScript SEO,Targets high-value technical long-tail with low competition and strong intent.,Diagnostic 'why is my page not indexed' questions produce direct answers.,"Specification-grade explanations (status codes, schema, rendering) are strong citation candidates.","Covers AI crawler access, llms.txt and render budgets for AI systems.",Core Web Vitals; JavaScript SEO; Structured data; Log file analysis; Crawl budget; Site speed; Hreflang; Redirects and status codes
4,On-Page SEO and Content Optimization,on-page-seo,Informational → How-to,"Content writers, SEO specialists, bloggers",on-page SEO,title tag optimisation; meta description; internal linking; content optimisation,"Dense mid-tail around titles, headings, meta and content structure.",Directly serves 'how do I optimise X' queries.,Passage-level structuring guidance is itself the thing generative engines reward.,"AI-assisted drafting, optimisation and entity coverage.",Title tags; Meta descriptions; Header hierarchy; Internal linking; Image SEO; Content structure; Entity coverage; Readability
5,Keyword Research and Search Demand Analysis,keyword-research,Informational → Commercial investigation,"SEO analysts, content strategists, PPC managers",keyword research,long-tail keywords; keyword difficulty; search volume; keyword clustering,Owns research methodology and tool-comparison traffic.,'How do I find keywords for X' answers cleanly.,Clustering methodologies and difficulty formulas are citable frameworks.,"AI-driven clustering, intent classification and gap analysis.",Search volume; Keyword difficulty; Intent classification; Keyword clustering; Long-tail discovery; Competitor gaps; Seasonality; Prioritisation models
6,Content Marketing and Editorial Operations,content-marketing,Informational → Commercial,"Content managers, editors, marketing teams",content marketing,content strategy; editorial calendar; content distribution; content audit,Broad content-strategy head terms plus workflow long-tail.,Process and definition questions with structured answers.,Editorial frameworks and production benchmarks earn citations.,"AI in ideation, drafting, editing and repurposing.",Content strategy; Editorial calendars; Content briefs; Distribution; Repurposing; Content audits; Governance; Content ROI
7,Blogging and Publishing Systems,blogging,Informational → How-to,"Bloggers, content ops, small business owners",blogging,blog SEO; blog post structure; publishing workflow; blog CMS,Blog-operations long-tail and CMS how-to traffic.,Setup and troubleshooting answers.,Concrete publishing workflows and post anatomy are citable.,"Automated drafting, scheduling and optimisation pipelines.",Blog setup; Post structure; Categories and tags; Author profiles; Publishing workflow; Blog SEO; Monetisation; Archive management
8,Link Building and Digital PR,link-building,Informational → Commercial investigation,"SEO managers, PR teams, agencies",link building,backlinks; digital PR; outreach; domain authority,Competitive head terms plus tactic-level long-tail.,'How do I get backlinks' and safety questions.,Citation-earning tactics map directly onto generative-engine visibility.,"AI-assisted prospecting, personalisation and outreach QA.",Link prospecting; Outreach; Digital PR; Guest posting; Broken link building; Link quality; Disavow; Anchor strategy
9,Local SEO and Google Business Profile,local-seo,Informational → Transactional,"Local businesses, multi-location brands, agencies",local SEO,Google Business Profile; near me searches; map pack; local citations,High-converting 'near me' and city-modified terms.,Voice and mobile local questions answer directly.,Location entities and NAP consistency feed AI local answers.,"AI review replies, local content and listing automation.",Google Business Profile; Local citations; Review management; Local landing pages; Map pack ranking; NAP consistency; Local link building; Multi-location SEO
10,E-commerce SEO and Product Discovery,ecommerce-seo,Commercial → Transactional,"Store owners, e-commerce managers, agencies",ecommerce SEO,product page SEO; category page optimisation; product schema; Shopify SEO,High-revenue category and product-page terms.,Product comparison and availability questions.,Structured product data is directly consumed by AI shopping answers.,"AI product descriptions, feed optimisation and merchandising.",Category page SEO; Product page SEO; Faceted navigation; Product schema; Review SEO; Marketplace SEO; Seasonal campaigns; Inventory and SEO
11,Enterprise and Multi-Site SEO Governance,enterprise-seo,Commercial investigation,"Enterprise SEO leads, heads of digital, consultants",enterprise SEO,SEO governance; site migration; SEO at scale; international SEO,"Low-volume, high-value decision-maker terms.",Governance and process questions.,Scale frameworks and prioritisation models are strongly citable.,"AI for large-scale auditing, classification and forecasting.",SEO governance; Stakeholder buy-in; Scaled audits; Template optimisation; Migration planning; Internationalisation; SEO forecasting; Platform selection
12,Competitor and Market Intelligence,competitor-analysis,Informational → Commercial investigation,"Strategists, analysts, founders",competitor analysis,content gap analysis; share of voice; competitive benchmarking; ad intelligence,Analysis-methodology and tool terms.,'How do I analyse competitors' direct answers.,Repeatable analysis frameworks are cited as methodology.,"AI-assisted SERP, ad and positioning analysis.",SERP competitor mapping; Content gap analysis; Backlink gap analysis; Ad intelligence; Pricing analysis; Share of voice; Positioning maps; Benchmarking
13,"SEO Analytics, Reporting and Attribution",seo-analytics,Informational → Commercial,"Analysts, SEO managers, CMOs",SEO analytics,Google Search Console; GA4; rank tracking; SEO reporting,Metric-definition and reporting long-tail.,'What is a good X' benchmark questions.,Benchmark data and measurement models attract citations.,"AI anomaly detection, forecasting and narrative reporting.",GSC analysis; GA4 for SEO; Rank tracking; Attribution models; Dashboards; Forecasting; Anomaly detection; Reporting cadence
14,Email Marketing Strategy and Campaigns,email-marketing,Informational → Commercial,"Email marketers, e-commerce teams, SaaS growth",email marketing,email campaigns; newsletter strategy; email copywriting; send frequency,Owns 'email marketing' head plus campaign-type mid-tail.,Campaign definitions and 'how often should I send' answer cleanly.,Send-frequency benchmarks and campaign frameworks are citable.,"AI subject lines, send-time optimisation and copy generation.",Campaign types; Email calendars; Newsletter strategy; Promotional sends; Re-engagement; Send frequency; Email copywriting; Campaign QA
15,"Email Subscribers, Lists and Audience Data",email-subscribers-lists,Informational → How-to,"Lifecycle marketers, CRM managers, ops",email list building,email segmentation; subscriber management; opt-in; list hygiene,List-building and hygiene long-tail with strong commercial pull.,'How do I grow my list' and consent questions.,"Segmentation taxonomies and consent rules are precise, citable facts.","AI segmentation, predictive scoring and data enrichment.",List building; Segmentation; Suppression lists; Double opt-in; Data hygiene; Custom fields; Imports and exports; Consent management
16,Email Automation and Lifecycle Workflows,email-automation,Informational → Commercial,"Lifecycle marketers, SaaS onboarding teams",email automation,drip campaign; welcome series; triggered emails; lifecycle marketing,Workflow and drip-sequence long-tail.,'What is a drip campaign' style definitions.,Named workflow patterns and trigger logic are highly citable.,"AI-built journeys, branching logic and next-best-action.",Welcome series; Drip campaigns; Behavioural triggers; Onboarding flows; Win-back journeys; Branching logic; Workflow testing; Automation audits
17,"Email Deliverability, Authentication and Compliance",email-deliverability,Informational → Troubleshooting,"Email ops, developers, compliance leads",email deliverability,SPF DKIM DMARC; sender reputation; spam folder; inbox placement,High-intent troubleshooting terms with low competition.,'Why do my emails go to spam' is a canonical answer query.,DNS record specifications (SPF/DKIM/DMARC) are factual and heavily cited.,AI content scoring for spam risk and reputation monitoring.,"SPF, DKIM, DMARC; Sender reputation; Spam filters; Bounce handling; Warm-up; Blocklists; CAN-SPAM and GDPR; Inbox placement"
18,"Email Analytics, Testing and Revenue Attribution",email-analytics,Informational → Commercial,"Email analysts, growth leads, CMOs",email marketing metrics,open rate; click-through rate; A/B testing email; email ROI,Benchmark and metric-definition traffic.,'What is a good open rate' benchmark questions.,Benchmark tables by industry are prime citation material.,"AI testing design, lift analysis and predictive performance.",Open and click metrics; A/B testing; Benchmarks; Revenue per email; Cohort analysis; Privacy impact; Dashboards; Testing programmes
19,WhatsApp Marketing Strategy and Campaigns,whatsapp-marketing,Informational → Commercial,"Conversational marketers, retail, D2C, services",WhatsApp marketing,WhatsApp Business API; WhatsApp campaigns; conversational commerce; broadcast messages,Fast-growing head term with thin competition.,'What is WhatsApp Business API' definitional queries.,Policy rules and pricing mechanics are factual and citable.,AI reply agents and conversational campaign design.,Business API vs Business App; Campaign types; Opt-in rules; Conversational commerce; Broadcast strategy; Session windows; Catalogues; Click-to-WhatsApp ads
20,"WhatsApp Contacts, Groups and Audience Management",whatsapp-contacts-groups,How-to → Commercial,"CRM managers, community managers, support leads",WhatsApp contacts,WhatsApp groups; broadcast list; contact segmentation; opt-out,Operational long-tail around contact and group handling.,'How do I add contacts' and group-limit questions.,Platform limits and consent rules are precise citable facts.,"AI tagging, deduplication and segment discovery.",Contact import; Phone validation; Tagging; Group management; Broadcast lists; Opt-out handling; Segmentation; Contact hygiene
21,"WhatsApp Templates, Approval and Message Design",whatsapp-templates,How-to → Troubleshooting,"Marketers, developers, support designers",WhatsApp message templates,template approval; template rejected; template categories; message variables,Approval-troubleshooting terms with urgent intent.,'Why was my template rejected' is a high-value answer query.,Category definitions and rejection reasons are factual and citable.,AI template drafting and pre-submission policy checks.,Template categories; Variables; Approval process; Rejection reasons; Buttons and CTAs; Media templates; Localisation; Quality ratings
22,"WhatsApp Analytics, Costs and Performance",whatsapp-analytics,Informational → Commercial,"Growth analysts, finance-aware marketers",WhatsApp analytics,WhatsApp API pricing; conversation rates; delivery rate; WhatsApp ROI,Pricing and benchmark queries with commercial intent.,'How much does WhatsApp Business API cost' answers directly.,"Conversation-pricing tables are concrete, citable data.",AI conversation analytics and intent classification.,Delivery and read rates; Conversation pricing; ROI modelling; Quality rating; Response times; Funnel tracking; Benchmarks; Dashboards
23,SMS Marketing Strategy and Campaigns,sms-marketing,Informational → Commercial,"Retail, services, local businesses, e-commerce",SMS marketing,text message marketing; bulk SMS; SMS campaigns; SMS copywriting,Strong commercial head plus tactic long-tail.,'Is SMS marketing effective' and cost questions.,"Character limits, carrier rules and benchmarks are factual.",AI copy compression and send-time targeting.,Campaign types; SMS copywriting; Character limits; Timing rules; Short codes; Two-way SMS; Alerts and reminders; Promotions
24,"SMS Contacts, Consent and Compliance",sms-contacts-compliance,How-to → Compliance,"Compliance officers, CRM managers, marketers",SMS compliance,SMS opt-in; TCPA; STOP keyword; phone number validation,Regulation-specific terms with high stakes.,'Do I need consent to text customers' is a direct-answer query.,"Statutory rules (TCPA, opt-out keywords) are precise and citable.",AI consent auditing and number validation.,Opt-in methods; TCPA and local law; STOP keywords; Number validation; Segmentation; DND registries; Record keeping; Carrier filtering
25,"SMS Analytics, Deliverability and ROI",sms-analytics,Informational → Commercial,"Analysts, growth leads, ops managers",SMS analytics,SMS delivery rate; SMS ROI; failure codes; SMS benchmarks,Benchmark and troubleshooting terms.,'What is a good SMS delivery rate' answers cleanly.,Carrier and benchmark data is citable.,AI failure-reason clustering and spend optimisation.,Delivery reports; Failure codes; Response rates; Cost per conversion; Carrier routes; Benchmarks; Attribution; Dashboards
26,"Telegram Marketing, Bots and Channels",telegram-marketing,Informational → How-to,"Community managers, crypto/finance marketers, publishers",Telegram marketing,Telegram bot; Telegram channel; Telegram groups; bot API,Underserved terms with rising volume.,'How do I create a Telegram bot' step answers.,Bot API specifics and channel limits are factual.,AI Telegram bots and automated broadcast agents.,Bot setup; Channels vs groups; Broadcast strategy; Subscriber growth; Bot commands; Inline keyboards; Moderation; Monetisation
27,"Telegram Contacts, Groups and Community Growth",telegram-contacts-groups,How-to,"Community managers, moderators, growth teams",Telegram community,Telegram subscribers; group moderation; channel growth; anti-spam,Community-operations long-tail.,Growth and moderation how-to answers.,Moderation frameworks and limits are citable.,AI moderation and member scoring.,Subscriber acquisition; Group vs channel; Moderation; Anti-spam; Segmentation; Engagement tactics; Admin roles; Retention
28,Telegram Analytics and Campaign Performance,telegram-analytics,Informational,"Analysts, community leads",Telegram analytics,view rate; subscriber growth; forward rate; Telegram ROI,Metric-definition and benchmark long-tail.,'What is a good Telegram view rate' answers.,Benchmark and view-count mechanics are citable.,AI engagement forecasting and content scoring.,View counts; Forward rates; Subscriber churn; Link tracking; Campaign reporting; Benchmarks; Attribution; Bot analytics
29,Facebook Messenger Marketing and Automation,messenger-marketing,Informational → Commercial,"D2C brands, support teams, agencies",Messenger marketing,Facebook Messenger bot; 24-hour rule; message tags; click-to-Messenger,Recovering head term plus policy long-tail.,'What is the 24-hour rule' definitional answers.,Policy windows and tag definitions are precise facts.,AI chat agents and intent routing.,24-hour window; Message tags; Recurring notifications; Click-to-Messenger ads; Chatbots; Handover protocol; Persistent menu; Welcome flows
30,"Messenger Contacts, Segments and Subscriber Growth",messenger-contacts-groups,How-to,"Growth marketers, community managers",Messenger subscribers,Messenger entry points; m.me links; segmentation; opt-in,Acquisition and segmentation long-tail.,'How do I get Messenger subscribers' answers.,Entry-point taxonomy is citable.,AI segment discovery and lookalike modelling.,Entry points; Ref links; Checkbox plugin; Segmentation; Tags and attributes; Opt-out handling; List hygiene; Re-engagement
31,Messenger Analytics and Conversational ROI,messenger-analytics,Informational → Commercial,"Analysts, growth leads",Messenger analytics,chatbot metrics; conversation rate; bot containment; Messenger ROI,Benchmark and measurement long-tail.,Benchmark questions with direct answers.,Conversational benchmarks are citable data.,AI conversation scoring and deflection measurement.,Open and click rates; Flow drop-off; Bot containment; Response time; Revenue attribution; Benchmarks; Dashboards; Testing
32,"Blog CMS Operations: Posts, Categories and Tags",blog-cms-operations,How-to,"Content ops, editors, site managers",blog CMS,content taxonomy; categories and tags; post workflow; permalinks,CMS-operations long-tail.,Taxonomy and workflow questions.,Taxonomy design rules are citable frameworks.,"AI tagging, categorisation and metadata generation.",Post lifecycle; Category architecture; Tag governance; Drafts and scheduling; Revisions; Bulk editing; Media library; Permalinks
33,"Author Authority, E-E-A-T and Content Credibility",author-authority-eeat,Informational,"Editors, SEO leads, subject experts",E-E-A-T,author authority; author schema; editorial policy; content credibility,E-E-A-T and author-signal terms.,'What is E-E-A-T' definitional answers.,Author entity signals directly influence AI citation choices.,"AI disclosure, provenance and human review policies.",Author bio pages; Author schema; Credential signals; Original research; Editorial policy; Fact-checking; AI disclosure; Expert review
34,"Blog Analytics, Content ROI and Optimization Cycles",blog-analytics,Informational → Commercial,"Content leads, analysts, CMOs",blog analytics,content ROI; content decay; content refresh; engagement metrics,Content-measurement long-tail.,'How do I measure content ROI' answers.,Refresh methodologies and decay curves are citable.,"AI content scoring, decay detection and refresh prioritisation.",Traffic analysis; Engagement metrics; Content decay; Refresh prioritisation; Conversion tracking; Content ROI; Dashboards; Pruning
